"PASSENGERS","DISTANCE","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","YEAR","MONTH",
2748.00,2046.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",11874,"GDL","Guadalajara, Mexico",14057,"PDX","Portland, OR",2021,3,
2748.00,1139.00,"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",13514,"MTY","Monterrey, Mexico",12889,"LAS","Las Vegas, NV",2021,5,
2749.00,4901.00,"UA","United Air Lines Inc.",11988,"GRU","Sao Paulo, Brazil",12266,"IAH","Houston, TX",2021,6,
2749.00,886.00,"NK","Spirit Air Lines",11697,"FLL","Fort Lauderdale, FL",14681,"SAP","San Pedro Sula, Honduras",2021,2,
2750.00,1222.00,"UA","United Air Lines Inc.",12264,"IAD","Washington, DC",14153,"PLS","Providenciales, Turks and Caicos Islands",2021,5,
2751.00,2078.00,"DL","Delta Air Lines Inc.",14747,"SEA","Seattle, WA",14312,"PVR","Puerto Vallarta, Mexico",2021,5,
2753.00,304.00,"OO","SkyWest Airlines Inc.",12164,"HMO","Hermosillo, Mexico",14107,"PHX","Phoenix, AZ",2021,6,
2754.00,1552.00,"UA","United Air Lines Inc.",12266,"IAH","Houston, TX",14838,"SJO","San Jose, Costa Rica",2021,2,
2754.00,1009.00,"B6","JetBlue Airways",14739,"SDQ","Santo Domingo, Dominican Republic",13204,"MCO","Orlando, FL",2021,4,
2754.00,5805.00,"LH","Lufthansa German Airlines",11760,"FRA","Frankfurt, Germany",12892,"LAX","Los Angeles, CA",2021,1,
2754.00,1693.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",13796,"OAK","Oakland, CA",10638,"BJX","Leon/Guanajuato, Mexico",2021,7,
2756.00,2640.00,"TA","Taca International Airlines",14677,"SAL","San Salvador, El Salvador",14771,"SFO","San Francisco, CA",2021,5,
2757.00,1918.00,"AA","American Airlines Inc.",11057,"CLT","Charlotte, NC",14832,"SJD","San Jose del Cabo, Mexico",2021,3,
2757.00,1096.00,"DL","Delta Air Lines Inc.",13605,"NAS","Nassau, The Bahamas",12478,"JFK","New York, NY",2021,5,
2759.00,1544.00,"DL","Delta Air Lines Inc.",12478,"JFK","New York, NY",13180,"MBJ","Montego Bay, Jamaica",2021,4,
2761.00,411.00,"UA","United Air Lines Inc.",12266,"IAH","Houston, TX",13514,"MTY","Monterrey, Mexico",2021,4,
2762.00,935.00,"5D","Aerolitoral",13252,"MEX","Mexico City, Mexico",11298,"DFW","Dallas/Fort Worth, TX",2021,7,
2762.00,5124.00,"UA","United Air Lines Inc.",14771,"SFO","San Francisco, CA",13744,"NRT","Tokyo, Japan",2021,7,
2763.00,1420.00,"DL","Delta Air Lines Inc.",14677,"SAL","San Salvador, El Salvador",10397,"ATL","Atlanta, GA",2021,4,
2765.00,717.00,"UA","United Air Lines Inc.",12266,"IAH","Houston, TX",13306,"MID","Merida, Mexico",2021,4,
2766.00,1441.00,"DL","Delta Air Lines Inc.",14869,"SLC","Salt Lake City, UT",14312,"PVR","Puerto Vallarta, Mexico",2021,3,
2766.00,1506.00,"UA","United Air Lines Inc.",12264,"IAD","Washington, DC",14293,"PUJ","Punta Cana, Dominican Republic",2021,6,
2766.00,524.00,"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",13514,"MTY","Monterrey, Mexico",11298,"DFW","Dallas/Fort Worth, TX",2021,3,
2768.00,1569.00,"NK","Spirit Air Lines",11697,"FLL","Fort Lauderdale, FL",11052,"CLO","Cali, Colombia",2021,5,
2768.00,1701.00,"DL","Delta Air Lines Inc.",15084,"SXM","Philipsburg, Sint Maarten",10397,"ATL","Atlanta, GA",2021,5,
2768.00,1446.00,"AM","Aeromexico",13252,"MEX","Mexico City, Mexico",11292,"DEN","Denver, CO",2021,2,
2768.00,1420.00,"DL","Delta Air Lines Inc.",14677,"SAL","San Salvador, El Salvador",10397,"ATL","Atlanta, GA",2021,3,
2770.00,852.00,"NK","Spirit Air Lines",11697,"FLL","Fort Lauderdale, FL",14739,"SDQ","Santo Domingo, Dominican Republic",2021,2,
2771.00,3848.00,"UA","United Air Lines Inc.",11618,"EWR","Newark, NJ",10517,"BCN","Barcelona, Spain",2021,7,
2771.00,3855.00,"LH","Lufthansa German Airlines",11760,"FRA","Frankfurt, Germany",12478,"JFK","New York, NY",2021,6,
2772.00,3830.00,"DL","Delta Air Lines Inc.",16782,"DSS","Dakar Thies, Senegal",12478,"JFK","New York, NY",2021,6,
2773.00,1730.00,"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",13930,"ORD","Chicago, IL",11874,"GDL","Guadalajara, Mexico",2021,5,
2773.00,540.00,"NK","Spirit Air Lines",11697,"FLL","Fort Lauderdale, FL",13180,"MBJ","Montego Bay, Jamaica",2021,5,
2774.00,1009.00,"NK","Spirit Air Lines",13204,"MCO","Orlando, FL",14739,"SDQ","Santo Domingo, Dominican Republic",2021,7,
2775.00,911.00,"NK","Spirit Air Lines",14832,"SJD","San Jose del Cabo, Mexico",12892,"LAX","Los Angeles, CA",2021,5,
2775.00,6274.00,"NH","All Nippon Airways Co.",13744,"NRT","Tokyo, Japan",13930,"ORD","Chicago, IL",2021,6,
